Padrão	Nome da Cláusula
True	ASSISTÊNCIA 24 HORAS
False	VIDROS BASICO 
False	VIDROS E RETROVISORES
False	VIDROS BLINDADOS
True	VIDROS,RETROV,LANT. E FARÓIS
True	CARRO RESERVA
False	DESPESAS EXTRAS - 3% LMI
False	PAGAMENTO DE FRANQUIA
False	SEGURO GARANTIDO PERDA TOTAL
False	DANOS MORAIS
False	DESPESAS EXTRAS R$2.500,00
False	REPOSIÇÃO VEÍCULO 0KM  6 MESES
False	REPOSIÇAO VEICULO 0KM 3 MESES
False	EXTENSÃO DE REBOQUE R$300,00
False	DESCONTO DE 200,00 NA FRANQUIA
False	NAO
False	DESPESAS EXTRAS R$1.500,00
False	EXTENSAO P/ VEICULOS REBOCADOS
False	ISENÇÃO NA FRANQUIA
False	SERVIÇOS À RESIDENCIA
False	ASSIST. 24HS AUTOMAIS 250KM
False	ASSIST. 24HS AUTOMAIS CASA
False	EXTENSAO DE PERÍMETRO Gratuita
False	CARTA VERDE
False	DISPENSA DE FRANQUIA
False	DESCONTO DE 100% NA FRANQUIA
False	REPARO DE PARA-BRISA
False	26c CARRO EXTRA 7 dias
False	DESPESAS EXTRAS - R$1.200,00
False	GARANTIA DE VALOR DE NOVO
False	DESCONTO DE 50% NA FRANQUIA
False	REPARO DE PARA-BRISA
False	SEGURO RESIDENCIAL
False	VEICULO C/ ISENCAO ICMS E IPI
False	EXTENSAO DE COB. DA APOLICE
False	HIGIENIZAÇÃO POR ALAGAMENTO
False	DESPESAS EXTRAS - 1%  IS CASCO
False	DESPESAS EXTRAORDINARIAS
False	DESCONTO NA FRANQUIA
False	CARRO RESERVA POR PANE
False	CARRO RESERVA AUTOMATICO
False	REPARO ABAIXO DA FRANQUIA
False	7 DIAS 
False	REP.RÁP. MARTELINHO DE OURO
False	CRÉDITO POR APLICATIVO
False	DESPESAS EXTAORDINARIAS 
False	SEGURO GARANTIDO EM CASO PT
False	FAROL / LANTERNA/ RETROVISOR
