Padrão	Nome da Cobertura	Tipo de Dado	Valor Padrão
True	COLISÃO, INCÊNDIO E ROUBO	ALFANUMÉRICO	100% TAB. FIPE
False	COLISÃO, INCENDIO, ROUBO E FURTO	ALFANUMÉRICO	
False	INDENIZAÇÃO INTEGRAL - ROUBO E FURTO	ALFANUMÉRICO	
False	COLISÃO E INCENDIO	ALFANUMÉRICO	100% TAB. FIPE
False	INCÊNDIO ROUBO OU FURTO	ALFANUMÉRICO	100% TAB. FIPE
False	VALOR DETERMINADO	ALFANUMÉRICO	
True	TERCEIROS - DANOS MATERIAIS	NUMÉRICO	100.000,00
True	TERCEIROS - DANOS CORPORAIS	NUMÉRICO	200.000,00
False	DANOS MORAIS	NUMÉRICO	100.000,00
True	APP - MORTE	NUMÉRICO	30.000,00
True	APP - INVALIDEZ	NUMÉRICO	30.000,00
True	APP - DESP MEDICO HOSPITALARES	NUMÉRICO	30.000,00
False	CARROÇARIA	NUMÉRICO	
False	EQUIPAMENTO	NUMÉRICO	
False	PAGAMENTO DA FRANQUIA	ALFANUMÉRICO	
False	BLINDAGEM	NUMÉRICO	
False	DESPESAS EXTRAS	NUMÉRICO	
False	DESPESAS POR LOCOMOÇÃO	ALFANUMÉRICO	
False	SEGURO RESIDENCIAL SIMPLIFICADO	ALFANUMÉRICO	
False	INCÊNDIO	ALFANUMÉRICO	
False	VENDAVAL/ FURACÃO / CICL /TORN/ GRANITO/FUMAÇA	ALFANUMÉRICO	
False	SUBTRAÇÃO DE BENS	ALFANUMÉRICO	
False	PERDA DE ALUGUEL	ALFANUMÉRICO	
False	RC FAMILIAR	ALFANUMÉRICO	
False	DANOS MORAES	NUMÉRICO	
False	CARROCERIA / EQUIPAMENTO	NUMÉRICO	
