Padrão	Descrição	Qtd. de Parcelas
True	A VISTA	1
False	2 VEZES FIXAS	2
False	3 VEZES FIXAS	3
True	4 VEZES FIXAS	4
False	5 VEZES FIXAS	5
False	6 VEZES FIXAS	6
False	7 VEZES FIXAS	7
False	8 VEZES FIXAS	8
False	9 VEZES FIXAS	9
False	10 VEZES FIXAS	10
False	11 VEZES FIXAS	11
False	12 VEZES FIXAS	12
True	1X CARTAO CRED	1
False	4X CARTAO CRED	4
True	6X CARTAO CRED	6
False	10X CARTAO CRED	10
False	12X CARTAO CRED	1
False	VALOR MENSAL	1
False	1x CARTAO PORTO	1
False	2x CARTAO PORTO	1
False	3x CARTAO PORTO	1
False	4X CARTAO PORTO	4
False	5x CARTÃO PORTO	5
False	6X CARTÃO PORTO	6
False	7X CARTAO PORTO	7
False	8X CARTÃO PORTO	8
False	9X CARTÃO PORTO	9
False	10X CARTAO PORT	10
False	11X CARTÃO PORT	11
False	12x CARTAO PORT	12
False	A VISTA - CARNÊ	1
False	2 VEZES CARNÊ	2
False	3 VEZES CARNÊ	3
False	4 VEZES CARNÊ	4
False	5 VEZES CARNÊ	1
False	6 VEZES CARNÊ	6
False	7 VEZES CARNÊ	1
False	8 VEZES CARNE	1
False	9 VEZES CARNÊ	1
False	10 VEZES CARNÊ	10
False	11 VEZES CARNÊ	1
False	1X CART DEMAIS	1
False	4X CART DEMAIS	4
False	6X CART DEMAIS	6
False	12X CARTAO CRED	1
False	12 VEZES FIXAS	12
False	A VISTA C/ DESC	1
False	02X C/ DESC	2
False	6x DÉBITO CONTA	6
False	5X DEBITO CONTA	5
False	DEVOLUÇÃO 	1
